"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery","","","","Battery:BatteryHolder_Keystone_2462_2xAA",""
"C1,C46","2","2.2uF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C2,C42,C47,C48","4","22uF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C3,C4","2","15p","","","","Capacitor_SMD:C_0402_1005Metric",""
"C5,C43,C44","3","18pF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C6,C7,C9,C10","4","4.7u","","","","Capacitor_SMD:C_0402_1005Metric",""
"C8,C11,C12,C13,C14,C15,C16,C17,C18,C38,C39","11","100n","","","","Capacitor_SMD:C_0402_1005Metric",""
"C19","1","10u","","","","Capacitor_SMD:C_0805_2012Metric",""
"C20,C21,C22,C23,C24,C25,C31,C32,C33,C34,C35,C36,C37,C41,C45","15","10uF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C26,C27,C28,C29,C30","5","100nF","","","","Capacitor_SMD:C_0402_1005Metric",""
"C40","1","10 uF","","","","Capacitor_SMD:C_0402_1005Metric",""
"D1,D2,D3,D5,D6,D7,D9,D10,D11","9","D_Small","","","","Diode_SMD:D_SOD-123",""
"J1","1","USB_C_Receptacle_USB2.0_16P","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"J2","1","Conn_01x03_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"J3,J4","2","Conn_01x15_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x15_P2.54mm_Vertical",""
"L1","1","3.3u","","","","semitovpartslibrary:L_pol_2016",""
"L2,L3,L4","3","2.2uH","","","","Inductor_SMD:L_APV_ANR4018",""
"R1","1","300K","","","","Resistor_SMD:R_0402_1005Metric",""
"R2,R4,R6","3","1k","","","","Resistor_SMD:R_0402_1005Metric",""
"R3,R11","2","DNF","DNP","","","Resistor_SMD:R_0402_1005Metric",""
"R5","1","33","","","","Resistor_SMD:R_0402_1005Metric",""
"R7,R8","2","27","","","","Resistor_SMD:R_0402_1005Metric",""
"R9,R13,R16","3","150K","","","","Resistor_SMD:R_0402_1005Metric",""
"R10","1","680k","","","","Resistor_SMD:R_0402_1005Metric",""
"R12,R15","2","0","","","","Resistor_SMD:R_0402_1005Metric",""
"R14","1","1K","","","","Resistor_SMD:R_0402_1005Metric",""
"R17","1","680K","","","","Resistor_SMD:R_0402_1005Metric",""
"R18,R20","2","5.1k","","","","Resistor_SMD:R_0402_1005Metric",""
"R19","1","4.7K","","","","Resistor_SMD:R_0402_1005Metric",""
"SW1,SW2","2","SW_Push","","","","Button_Switch_SMD:SW_SPST_B3U-1000P",""
"SW3,SW4,SW5,SW6,SW7,SW8,SW9,SW10,SW11","9","","","","","Button_Switch_SMD:SW_SPST_PTS647_Sx38",""
"SW12","1","On/Off","","","","Button_Switch_SMD:SW_SPDT_CK_JS102011SAQN",""
"U1","1","RP2350_60QFN","","","","semitovpartslibrary:RP2350-QFN-60-1EP_7x7_P0.4mm_EP3.4x3.4mm_ThermalVias",""
"U2","1","GW1N-LV9QN88C6_I5_","","","","semitovpartslibrary:QFN40P1000X1000X95-89N",""
"U3","1","ME6211C12","","","","semitovpartslibrary:ME6211C12",""
"U4","1","TMI7003C","","","","semitovpartslibrary:TMI7003C",""
"U5","1","","","","","semitovpartslibrary:st7789_7pin_noblk",""
"U6,U7","2","W25Q32JVSS","","","","Package_SO:SOIC-8_5.3x5.3mm_P1.27mm","http://www.winbond.com/resource-files/w25q32jv%20revg%2003272018%20plus.pdf"
"Y1","1","ABM8-272-T3","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm",""
